Y,M,D,h,m,s,Hs,Tp,Dir
1979,3,8,12,0,0,1.352,9.329,54.467
1979,3,8,15,0,0,1.394,9.404,54.71
1979,3,8,18,0,0,1.43,9.484,54.929
1979,3,8,21,0,0,1.453,9.554,55.103
1979,3,9,0,0,0,1.471,9.634,55.375
1979,3,9,3,0,0,1.541,9.735,55.569
1979,3,9,6,0,0,1.605,9.889,55.642
1979,3,9,9,0,0,1.638,10.12,54.287
1979,3,9,12,0,0,1.723,10.373,54.279
1979,3,9,15,0,0,1.894,10.798,54.03
1979,3,9,18,0,0,2.078,11.175,52.806
1979,3,9,21,0,0,2.196,11.235,52.445
1979,3,10,0,0,0,2.308,11.111,52.195
1979,3,10,3,0,0,2.349,10.889,52.882
1979,3,10,6,0,0,2.296,10.75,53.294
1979,3,10,9,0,0,2.228,10.641,53.6
1979,3,10,12,0,0,2.132,10.47,53.958
1979,3,10,15,0,0,1.976,10.246,54.34
1979,3,10,18,0,0,1.849,9.944,55.287
1979,3,10,21,0,0,1.842,9.7,55.485
1979,3,11,0,0,0,1.774,9.526,55.623
1979,3,11,3,0,0,1.732,9.435,55.761
1979,3,11,6,0,0,1.696,9.411,55.826
1979,3,11,9,0,0,1.644,9.409,55.72
1979,3,11,12,0,0,1.577,9.381,55.521
1979,3,11,15,0,0,1.5,9.301,55.409
